"ID","GENERO","REGION","EDAD_SEL","NIVEL_EDUCATIVO_AGRUPADO","CANT_MIEMBROS_HOGAR","CANT_DEMANDANTES_TOTAL","CANT_AYUDA_TOTAL","CONDICION_ACTIVIDAD_AGRUPADA","TIPO_HOGAR_NUCLEAR","TSS_GRANGRUPO_TRABAJOTOTAL","TSS_GRANGRUPO_OCUPACIONYAUTOCONSUMO","TSS_GRANGRUPO_TNR","TSS_GRANGRUPO_PERSONALES","TSS_GRUPO_TRABAJOOCUPACION","TSS_GRUPO_DOMESTICO","TSS_GRUPO_CUIDADO","TSS_GRUPO_TNROTROSHOGARES_VOLUNTARIAS","TSS_GRUPO_VOLUNTARIAS","TSS_GRUPO_EDUCACION","TSS_GRUPO_CONVIVENCIA","TSS_GRUPO_USODEMEDIOS","TSS_GRUPO_CUIDADOPERSONAL","TSS_GRUPO_CPERSONALSINDORMIR","TSS_GRUPO_PREPARARCOMIDA"
111015,"Varón","Gran Buenos Aires",52,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",660,630,30,780,630,30,0,0,0,0,90,150,540,120,30
188145,"Varón","Gran Buenos Aires",77,"Terciario o universitario incompleto y más",1,0,0,"No ocupado (Desocupado o Inactivo)","Unipersonal",290,0,290,1150,0,290,0,0,0,0,70,380,700,340,100
189430,"Mujer","Gran Buenos Aires",71,"Terciario o universitario incompleto y más",3,0,0,"No ocupado (Desocupado o Inactivo)","Nuclear completo",90,0,90,1350,0,90,0,0,0,0,0,345,1005,525,40
168457,"Mujer","Gran Buenos Aires",33,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",680,680,0,760,680,0,0,0,0,0,120,125,515,145,0
100331,"Varón","Gran Buenos Aires",22,"Secundario completo",2,0,0,"No ocupado (Desocupado o Inactivo)",NA,70,0,70,1370,0,70,0,0,0,0,390,190,790,40,70
161256,"Varón","Gran Buenos Aires",36,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",835,775,60,605,775,10,0,50,0,0,0,0,605,55,10
145122,"Varón","Gran Buenos Aires",39,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",680,600,80,760,600,80,0,0,0,0,100,60,600,110,80
151675,"Varón","Gran Buenos Aires",25,"Primario completo y secundario incompleto",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",425,370,55,1015,370,55,0,0,0,0,70,130,815,335,40
184741,"Mujer","Gran Buenos Aires",55,"Terciario o universitario incompleto y más",3,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",645,535,110,795,535,110,0,0,0,0,35,125,635,155,40
134070,"Mujer","Gran Buenos Aires",26,"Secundario completo",3,1,0,"No ocupado (Desocupado o Inactivo)","Nuclear incompleto",455,0,455,985,0,135,320,0,0,0,0,125,860,60,50
173659,"Mujer","Gran Buenos Aires",64,"Secundario completo",2,0,0,"No ocupado (Desocupado o Inactivo)","Nuclear completo sin hijos",130,0,130,1310,0,130,0,0,0,0,190,300,820,150,130
123528,"Varón","Gran Buenos Aires",61,"Secundario completo",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",735,550,185,705,550,185,0,0,0,0,0,160,545,155,35
118718,"Varón","Gran Buenos Aires",27,"Secundario completo",5,2,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",830,440,390,610,440,55,335,0,0,0,0,30,580,200,5
144389,"Mujer","Gran Buenos Aires",32,"Primario completo y secundario incompleto",3,2,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear incompleto",355,0,355,1085,0,145,210,0,0,0,60,330,695,235,25
112184,"Mujer","Gran Buenos Aires",34,"Secundario completo",3,1,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",1050,840,210,390,840,120,90,0,0,0,0,30,360,120,30
196151,"Mujer","Gran Buenos Aires",20,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",430,350,80,1010,350,80,0,0,0,230,0,110,670,130,60
125817,"Mujer","Gran Buenos Aires",37,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",520,430,90,920,430,90,0,0,0,0,160,70,690,240,60
120528,"Mujer","Gran Buenos Aires",60,"Terciario o universitario incompleto y más",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",640,510,130,800,510,130,0,0,0,0,0,30,770,230,0
190966,"Mujer","Gran Buenos Aires",50,"Terciario o universitario incompleto y más",3,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales",NA,685,500,185,755,500,185,0,0,0,0,65,180,510,120,80
124868,"Mujer","Gran Buenos Aires",46,"Primario completo y secundario incompleto",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",310,0,310,1130,0,310,0,0,0,0,0,490,640,130,30
108244,"Varón","Gran Buenos Aires",67,"Secundario completo",5,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",620,620,0,820,620,0,0,0,0,0,0,220,600,90,0
102020,"Mujer","Gran Buenos Aires",49,"Secundario completo",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear incompleto",580,540,40,860,540,40,0,0,0,0,0,170,690,180,40
111648,"Mujer","Gran Buenos Aires",70,"Terciario o universitario incompleto y más",1,0,0,"No ocupado (Desocupado o Inactivo)","Unipersonal",220,0,220,1220,0,220,0,0,0,0,0,665,555,155,120
144306,"Varón","Gran Buenos Aires",39,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",120,0,120,1320,0,120,0,0,0,0,325,200,795,375,20
195910,"Mujer","Gran Buenos Aires",31,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",680,610,70,760,610,70,0,0,0,0,0,50,710,190,70
190718,"Varón","Gran Buenos Aires",58,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",830,780,50,610,780,50,0,0,0,0,0,75,535,145,20
139301,"Mujer","Gran Buenos Aires",60,"Secundario completo",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",50,0,50,1390,0,50,0,0,0,0,515,110,765,225,30
157435,"Mujer","Gran Buenos Aires",37,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",630,560,70,810,560,70,0,0,0,0,60,155,595,175,40
183334,"Mujer","Gran Buenos Aires",32,"Terciario o universitario incompleto y más",3,1,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",915,570,345,525,570,135,210,0,0,0,0,0,525,75,45
102798,"Mujer","Gran Buenos Aires",28,"Primario completo y secundario incompleto",4,2,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",685,0,685,755,0,135,550,0,0,0,0,0,755,275,75
161550,"Mujer","Gran Buenos Aires",72,"Secundario completo",1,0,0,"No ocupado (Desocupado o Inactivo)","Unipersonal",145,0,145,1295,0,130,0,15,0,0,335,160,800,330,50
109161,"Varón","Gran Buenos Aires",46,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",640,640,0,800,640,0,0,0,0,0,60,120,620,200,0
105113,"Varón","Gran Buenos Aires",24,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",125,0,125,1315,0,100,0,25,0,0,425,180,710,160,20
157714,"Mujer","Gran Buenos Aires",63,"Secundario completo",1,1,1,"No ocupado (Desocupado o Inactivo)","Unipersonal",135,0,135,1305,0,135,0,0,0,0,225,110,970,330,50
102691,"Mujer","Gran Buenos Aires",26,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",815,815,0,625,815,0,0,0,0,0,0,90,535,85,0
159780,"Varón","Gran Buenos Aires",48,"Terciario o universitario incompleto y más",3,1,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",199.994,0,199.994,1239.988,0,40,159.994,0,0,0,419.994,70,749.994,239.994,0
171816,"Varón","Gran Buenos Aires",69,"Terciario o universitario incompleto y más",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",150,0,150,1290,0,150,0,0,0,0,120,300,870,390,60
136078,"Varón","Gran Buenos Aires",84,"Terciario o universitario incompleto y más",2,0,0,"No ocupado (Desocupado o Inactivo)","Nuclear completo sin hijos",30,0,30,1410,0,30,0,0,0,0,150,330,930,120,0
126627,"Mujer","Gran Buenos Aires",62,"Terciario o universitario incompleto y más",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",610,480,130,830,480,130,0,0,0,0,0,150,680,260,70
183940,"Mujer","Gran Buenos Aires",69,"Terciario o universitario incompleto y más",1,0,0,"No ocupado (Desocupado o Inactivo)","Unipersonal",530,0,530,910,0,228.332,0,301.666,0,0,0,50,860,290,76.666
150987,"Varón","Gran Buenos Aires",25,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",320,280,40,1120,280,40,0,0,0,360,105,120,535,235,40
115723,"Mujer","Gran Buenos Aires",52,"Terciario o universitario incompleto y más",2,0,0,"No ocupado (Desocupado o Inactivo)","Nuclear incompleto",230,0,230,1210,0,230,0,0,0,0,150,170,890,410,120
170076,"Varón","Gran Buenos Aires",52,"Terciario o universitario incompleto y más",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",695,695,0,745,695,0,0,0,0,0,5,185,555,155,0
108088,"Varón","Gran Buenos Aires",39,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",540,540,0,900,540,0,0,0,0,0,0,295,605,65,0
117784,"Mujer","Gran Buenos Aires",57,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",615,485,130,825,485,130,0,0,0,0,90,60,675,115,30
127059,"Mujer","Gran Buenos Aires",29,"Terciario o universitario incompleto y más",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",20,0,20,1420,0,20,0,0,0,0,563.333,3.333,853.333,253.333,0
161576,"Varón","Gran Buenos Aires",33,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",395,315,80,1045,315,80,0,0,0,0,180,120,745,85,20
109999,"Varón","Gran Buenos Aires",28,"Terciario o universitario incompleto y más",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",270,200,70,1170,200,70,0,0,0,180,60,160,770,220,60
141157,"Mujer","Gran Buenos Aires",24,"Terciario o universitario incompleto y más",2,0,0,"No ocupado (Desocupado o Inactivo)",NA,30,0,30,1410,0,30,0,0,0,300,320,150,640,210,30
149299,"Mujer","Gran Buenos Aires",23,"Terciario o universitario incompleto y más",1,0,0,"No ocupado (Desocupado o Inactivo)","Unipersonal",230,0,230,1210,0,230,0,0,0,170,330,190,520,130,80
161345,"Varón","Gran Buenos Aires",22,"Terciario o universitario incompleto y más",1,0,0,"No ocupado (Desocupado o Inactivo)","Unipersonal",85,0,85,1355,0,85,0,0,0,190,250,175,740,200,65
134884,"Mujer","Gran Buenos Aires",40,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",740,470,270,700,470,270,0,0,0,0,0,0,700,190,60
190942,"Varón","Gran Buenos Aires",70,"Terciario o universitario incompleto y más",2,0,0,"No ocupado (Desocupado o Inactivo)","Nuclear completo sin hijos",140,0,140,1300,0,140,0,0,0,0,340,210,750,180,70
175029,"Mujer","Gran Buenos Aires",74,"Terciario o universitario incompleto y más",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",530,390,140,910,390,140,0,0,0,200,15,20,675,285,30
129366,"Mujer","Gran Buenos Aires",29,"Terciario o universitario incompleto y más",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",0,0,0,1440,0,0,0,0,0,0,120,210,1110,510,0
188138,"Mujer","Gran Buenos Aires",70,"Terciario o universitario incompleto y más",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",695,600,95,745,600,95,0,0,0,0,0,140,605,185,35
193873,"Mujer","Gran Buenos Aires",38,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",200,0,200,1240,0,200,0,0,0,0,135,345,760,340,70
142850,"Varón","Gran Buenos Aires",54,"Terciario o universitario incompleto y más",3,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales",NA,155,0,155,1285,0,155,0,0,0,0,120,485,680,290,5
107327,"Mujer","Gran Buenos Aires",64,"Terciario o universitario incompleto y más",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",420,340,80,1020,340,80,0,0,0,0,60,155,805,365,40
164581,"Varón","Gran Buenos Aires",46,"Terciario o universitario incompleto y más",3,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",320,320,0,1120,320,0,0,0,0,0,0,0,1120,620,0
150590,"Mujer","Gran Buenos Aires",24,"Terciario o universitario incompleto y más",4,2,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear incompleto",550,540,10,890,540,10,0,0,0,0,40,190,660,190,10
152472,"Mujer","Gran Buenos Aires",36,"Terciario o universitario incompleto y más",4,2,0,"No ocupado (Desocupado o Inactivo)","Nuclear completo",914.998,0,914.998,524.996,0,70,844.998,0,0,0,0,19.998,504.998,144.998,20
108949,"Mujer","Gran Buenos Aires",36,"Secundario completo",3,1,0,"No ocupado (Desocupado o Inactivo)","Nuclear completo",548.329,0,548.329,891.662,0,188.332,359.997,0,0,0,0,266.665,624.997,214.997,50
167758,NA,"Gran Buenos Aires",61,"Terciario o universitario incompleto y más",4,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",420,0,420,1020,0,420,0,0,0,0,180,60,780,220,0
145321,"Varón","Gran Buenos Aires",47,"Primario completo y secundario incompleto",3,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",600,580,20,840,580,20,0,0,0,0,60,100,680,360,20
198625,"Varón","Gran Buenos Aires",53,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",690,540,150,750,540,150,0,0,0,0,0,110,640,180,60
169001,"Varón","Gran Buenos Aires",63,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",870,690,180,570,690,180,0,0,0,0,10,50,510,130,50
163648,"Mujer","Gran Buenos Aires",64,"Terciario o universitario incompleto y más",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear incompleto",685,650,35,755,650,35,0,0,0,0,0,155,600,90,5
110402,"Varón","Gran Buenos Aires",44,"Terciario o universitario incompleto y más",4,2,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",750,525,225,690,525,35,190,0,0,0,60,190,440,110,35
159342,"Mujer","Gran Buenos Aires",91,"Primario completo y secundario incompleto",2,1,1,"No ocupado (Desocupado o Inactivo)",NA,0,0,0,1440,0,0,0,0,0,0,0,600,840,120,0
123945,"Mujer","Gran Buenos Aires",28,"Terciario o universitario incompleto y más",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",310,0,310,1130,0,310,0,0,0,0,0,370,760,190,60
181944,"Mujer","Gran Buenos Aires",38,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",520,520,0,920,520,0,0,0,0,100,260,0,560,140,0
110454,"Mujer","Gran Buenos Aires",33,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",670,330,340,770,330,105,0,235,0,0,0,130,640,130,35
136301,"Mujer","Gran Buenos Aires",90,"Secundario completo",1,0,0,"No ocupado (Desocupado o Inactivo)","Unipersonal",110,0,110,1330,0,110,0,0,0,0,0,580,750,150,70
123055,"Mujer","Gran Buenos Aires",31,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",270,0,270,1170,0,270,0,0,0,0,210,60,900,350,30
131403,"Varón","Gran Buenos Aires",72,"Secundario completo",1,0,0,"No ocupado (Desocupado o Inactivo)","Unipersonal",110,0,110,1330,0,110,0,0,0,0,50,420,860,230,50
133448,"Varón","Gran Buenos Aires",30,"Secundario completo",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",690,500,190,750,500,60,0,130,0,0,140,20,590,190,0
102030,"Mujer","Gran Buenos Aires",61,"Terciario o universitario incompleto y más",2,0,0,"No ocupado (Desocupado o Inactivo)","Nuclear incompleto",420,0,420,1020,0,420,0,0,0,0,240,70,710,290,150
137312,"Mujer","Gran Buenos Aires",33,"Terciario o universitario incompleto y más",5,1,0,"No ocupado (Desocupado o Inactivo)","Nuclear completo",749.993,20,729.993,689.986,20,170,559.993,0,0,0,69.993,0,619.993,139.993,35
145514,"Mujer","Gran Buenos Aires",38,"Terciario o universitario incompleto y más",2,1,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear incompleto",745,0,745,695,0,460,285,0,0,0,0,45,650,230,10
164571,"Mujer","Gran Buenos Aires",66,"Primario completo y secundario incompleto",3,0,0,"No ocupado (Desocupado o Inactivo)","Nuclear completo",490,0,490,950,0,300,0,190,0,0,55,0,895,445,105
196843,"Varón","Gran Buenos Aires",40,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",365,280,85,1075,280,0,0,85,85,0,60,290,725,95,0
174684,"Mujer","Gran Buenos Aires",46,"Terciario o universitario incompleto y más",5,2,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",690,550,140,750,550,80,60,0,0,0,70,20,660,110,50
194431,"Mujer","Gran Buenos Aires",62,"Terciario o universitario incompleto y más",5,0,0,"No ocupado (Desocupado o Inactivo)","Nuclear completo",465,0,465,975,0,280,0,185,185,0,295,0,680,200,40
187621,"Mujer","Gran Buenos Aires",84,"Secundario completo",1,0,0,"No ocupado (Desocupado o Inactivo)","Unipersonal",190,0,190,1250,0,190,0,0,0,0,0,290,960,280,130
191778,"Mujer","Gran Buenos Aires",48,"Terciario o universitario incompleto y más",4,1,0,"No ocupado (Desocupado o Inactivo)","Nuclear completo",490,0,490,950,0,390,100,0,0,0,0,200,750,350,160
189312,"Mujer","Gran Buenos Aires",36,"Terciario o universitario incompleto y más",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",180,0,180,1260,0,180,0,0,0,335,35,100,790,180,20
198138,"Mujer","Gran Buenos Aires",33,"Secundario completo",2,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo sin hijos",60,0,60,1380,0,60,0,0,0,0,0,280,1100,190,60
151882,"Varón","Gran Buenos Aires",58,"Primario completo y secundario incompleto",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",565,440,125,875,440,125,0,0,0,0,0,140,735,255,35
173532,"Varón","Gran Buenos Aires",60,"Secundario completo",3,1,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",700,180,520,740,180,80,170,270,270,0,0,90,650,170,80
148663,"Varón","Gran Buenos Aires",70,"Terciario o universitario incompleto y más",1,1,1,"No ocupado (Desocupado o Inactivo)","Unipersonal",70,0,70,1370,0,70,0,0,0,0,190,440,740,260,70
183571,"Mujer","Gran Buenos Aires",38,"Terciario o universitario incompleto y más",3,1,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",640,170,470,800,170,265,205,0,0,0,90,65,645,195,150
156935,"Mujer","Gran Buenos Aires",30,"Terciario o universitario incompleto y más",2,1,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear incompleto",600,0,600,840,0,105,495,0,0,0,0,150,690,210,60
113781,"Mujer","Gran Buenos Aires",30,"Secundario completo",3,1,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Nuclear completo",580,0,580,860,0,15,440,125,0,0,270,90,500,140,15
137052,"Mujer","Gran Buenos Aires",52,"Secundario completo",1,0,0,"Ocupado - Trabajó la semana de referencia o no trabajó pero por motivos circunstanciales","Unipersonal",390,0,390,1050,0,390,0,0,0,0,0,105,945,205,70
148276,"Mujer","Gran Buenos Aires",22,"Terciario o universitario incompleto y más",3,0,0,"No ocupado (Desocupado o Inactivo)",NA,110,0,110,1330,0,110,0,0,0,0,150,219.998,959.999,269.999,110
